@relation temp_weka

@attribute h numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
4,0.666667,7,41,5.857143,0.571429,6,F,No
31,2.583333,38,474,12.473684,0.815789,12,F,No
13,2.6,45,221,4.911111,0.288889,5,M,No
4,?,11,26,2.363636,0.363636,?,F,No
8,1.6,16,65,4.0625,0.5,5,M,No
7,0.875,15,114,7.6,0.466667,8,F,No
13,0.866667,24,483,20.125,0.541667,15,M,No
6,0.545455,12,148,12.333333,0.5,11,M,No
8,?,28,120,4.285714,0.285714,?,F,No
9,3,36,99,2.75,0.25,3,M,No
15,0.789474,25,529,21.16,0.6,19,M,No
9,1.5,35,23,0.657143,0.257143,6,M,No
6,1.2,11,84,7.636364,0.545455,5,M,No
12,1.714286,14,113,8.071429,0.857143,7,M,No
12,?,41,135,3.292683,0.292683,?,M,No
7,1,12,109,9.083333,0.583333,7,M,No
10,0.714286,15,292,19.466667,0.666667,14,M,No
15,?,41,15,0.365854,0.365854,?,M,No
14,?,42,224,5.333333,0.333333,?,M,No
3,?,34,3,0.088235,0.088235,?,M,No
15,1.071429,19,315,16.578947,0.789474,14,F,No
17,2.833333,33,303,9.181818,0.515152,6,M,No
6,1.5,11,48,4.363636,0.545455,4,M,No
9,0.75,15,302,20.133333,0.6,12,M,No
6,0.461538,14,246,17.571429,0.428571,13,M,No
3,?,35,3,0.085714,0.085714,?,M,No
20,2.222222,29,308,10.62069,0.689655,9,M,No
19,2.111111,40,537,13.425,0.475,9,M,No
17,4.25,22,130,5.909091,0.772727,4,M,No
8,2.666667,8,21,2.625,1,3,M,No
10,?,15,70,4.666667,0.666667,?,F,No
9,1.8,27,107,3.962963,0.333333,5,F,No
12,?,23,35,1.521739,0.521739,?,F,No
10,0.357143,33,1114,33.757576,0.30303,28,M,No
6,?,19,63,3.315789,0.315789,?,M,No
5,0.714286,9,68,7.555556,0.555556,7,M,No
18,2.25,23,226,9.826087,0.782609,8,M,No
4,?,17,72,4.235294,0.235294,?,F,No
17,1.7,20,212,10.6,0.85,10,M,No
9,1.125,19,186,9.789474,0.473684,8,F,No
6,1.2,15,44,2.933333,0.4,5,M,No
17,5.666667,29,51,1.758621,0.586207,3,F,No
17,1.545455,22,171,7.772727,0.772727,11,F,No
7,1.4,14,77,5.5,0.5,5,M,No
5,1.25,6,22,3.666667,0.833333,4,M,No
12,1.714286,26,274,10.538462,0.461538,7,F,No
11,2.75,12,19,1.583333,0.916667,4,M,No
9,0.9,18,170,9.444444,0.5,10,M,No
12,2,13,73,5.615385,0.923077,6,M,No
18,0.692308,57,1746,30.631579,0.315789,26,M,No
7,0.318182,14,451,32.214286,0.5,22,M,No
11,5.5,19,49,2.578947,0.578947,2,M,No
13,1.3,35,419,11.971429,0.371429,10,M,No
33,2.2,63,1052,16.698413,0.52381,15,F,No
14,2,14,109,7.785714,1,7,M,No
13,3.25,47,168,3.574468,0.276596,4,F,No
16,2.666667,20,99,4.95,0.8,6,M,No
13,4.333333,14,3,0.214286,0.928571,3,F,No
15,1.363636,20,303,15.15,0.75,11,M,No
5,0.714286,11,66,6,0.454545,7,F,Si
13,2.166667,25,210,8.4,0.52,6,M,Si
9,2.25,24,124,5.166667,0.375,4,F,Si
7,0.583333,18,199,11.055556,0.388889,12,F,Si
13,0.764706,22,599,27.227273,0.590909,17,F,Si
