@relation temp_weka

@attribute h numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
15,1.875,23,235,10.217391,0.652174,8,F,Si
2,0.5,7,35,5,0.285714,4,M,Si
4,0.25,25,733,29.32,0.16,16,M,Si
4,0.25,25,495,19.8,0.16,16,M,Si
4,0.25,25,533,21.32,0.16,16,M,Si
1,0.1,14,165,11.785714,0.071429,10,F,Si
17,1.888889,29,241,8.310345,0.586207,9,M,Si
11,1.375,20,185,9.25,0.55,8,F,Si
8,?,36,44,1.222222,0.222222,?,M,Si
5,?,25,105,4.2,0.2,?,F,Si
4,?,31,128,4.129032,0.129032,?,M,Si
2,0.25,13,105,8.076923,0.153846,8,F,Si
9,1,23,269,11.695652,0.391304,9,M,Si
19,1.461538,53,767,14.471698,0.358491,13,F,Si
2,0.222222,8,51,6.375,0.25,9,M,Si
1,0.111111,7,102,14.571429,0.142857,9,M,Si
5,1,10,27,2.7,0.5,5,F,Si
5,0.454545,16,118,7.375,0.3125,11,F,Si
10,0.714286,28,444,15.857143,0.357143,14,M,Si
10,0.769231,11,174,15.818182,0.909091,13,M,Si
3,0.272727,36,544,15.111111,0.083333,11,M,Si
3,1,12,31,2.583333,0.25,3,M,Si
4,1.333333,12,59,4.916667,0.333333,3,M,Si
2,0.5,12,70,5.833333,0.166667,4,M,Si
3,0.3,32,448,14,0.09375,10,F,Si
19,2.714286,42,367,8.738095,0.452381,7,M,Si
4,0.8,8,37,4.625,0.5,5,M,Si
3,0.1875,35,635,18.142857,0.085714,16,F,Si
13,1.444444,18,251,13.944444,0.722222,9,F,Si
3,0.3,19,313,16.473684,0.157895,10,M,Si
5,0.5,22,245,11.136364,0.227273,10,M,Si
3,0.333333,52,569,10.942308,0.057692,9,M,Si
8,1,34,420,12.352941,0.235294,8,F,Si
1,0.125,19,205,10.789474,0.052632,8,M,Si
4,0.571429,26,114,4.384615,0.153846,7,M,Si
1,0.125,11,97,8.818182,0.090909,8,M,Si
6,0.545455,12,202,16.833333,0.5,11,M,Si
1,0.1,9,99,11,0.111111,10,M,Si
2,0.5,8,38,4.75,0.25,4,F,Si
10,0.769231,41,814,19.853659,0.243902,13,F,Si
4,?,18,4,0.222222,0.222222,?,M,Si
4,?,34,72,2.117647,0.117647,?,M,Si
7,1.75,22,53,2.409091,0.318182,4,F,Si
3,0.75,4,19,4.75,0.75,4,M,Si
17,1.7,22,311,14.136364,0.772727,10,F,Si
4,0.307692,12,249,20.75,0.333333,13,M,Si
1,0.083333,14,166,11.857143,0.071429,12,M,Si
1,0.083333,15,219,14.6,0.066667,12,F,Si
6,1.2,12,74,6.166667,0.5,5,M,Si
6,1.2,12,38,3.166667,0.5,5,M,Si
6,?,12,30,2.5,0.5,?,M,Si
3,0.375,14,160,11.428571,0.214286,8,M,Si
3,0.375,14,155,11.071429,0.214286,8,M,Si
2,0.25,26,287,11.038462,0.076923,8,M,Si
10,?,12,58,4.833333,0.833333,?,F,Si
10,5,30,47,1.566667,0.333333,2,M,Si
6,0.857143,9,57,6.333333,0.666667,7,M,Si
13,1.444444,36,413,11.472222,0.361111,9,M,Si
2,0.25,10,128,12.8,0.2,8,M,Si
17,2.428571,20,155,7.75,0.85,7,M,Si
6,0.6,17,123,7.235294,0.352941,10,M,Si
9,?,19,66,3.473684,0.473684,?,M,Si
5,0.333333,14,254,18.142857,0.357143,15,M,Si
5,0.333333,13,193,14.846154,0.384615,15,M,Si
5,0.333333,14,334,23.857143,0.357143,15,F,Si
8,0.8,35,290,8.285714,0.228571,10,M,Si
2,?,4,18,4.5,0.5,?,M,Si
1,0.25,9,40,4.444444,0.111111,4,M,Si
1,0.25,9,40,4.444444,0.111111,4,F,Si
2,0.285714,12,56,4.666667,0.166667,7,F,Si
2,0.285714,12,68,5.666667,0.166667,7,M,Si
5,0.714286,12,99,8.25,0.416667,7,F,Si
3,0.5,5,28,5.6,0.6,6,M,Si
5,0.833333,11,77,7,0.454545,6,M,Si
11,0.785714,15,237,15.8,0.733333,14,M,Si
6,6,36,1,0.027778,0.166667,1,M,Si
3,0.5,26,261,10.038462,0.115385,6,M,Si
10,1.666667,23,193,8.391304,0.434783,6,M,Si
9,1.5,23,155,6.73913,0.391304,6,M,Si
3,0.5,26,118,4.538462,0.115385,6,M,Si
5,0.454545,23,243,10.565217,0.217391,11,M,Si
8,1.142857,15,116,7.733333,0.533333,7,F,Si
4,0.4,64,566,8.84375,0.0625,10,M,Si
4,0.285714,32,551,17.21875,0.125,14,M,Si
9,1.125,46,617,13.413043,0.195652,8,M,Si
13,0.541667,24,747,31.125,0.541667,24,M,Si
2,0.4,3,24,8,0.666667,5,M,Si
2,0.333333,9,60,6.666667,0.222222,6,M,Si
5,0.416667,73,924,12.657534,0.068493,12,F,Si
4,0.444444,23,318,13.826087,0.173913,9,M,Si
1,0.076923,47,515,10.957447,0.021277,13,M,Si
8,1.333333,50,347,6.94,0.16,6,F,Si
10,3.333333,18,45,2.5,0.555556,3,M,Si
8,4,14,37,2.642857,0.571429,2,M,Si
1,0.1,11,144,13.090909,0.090909,10,M,Si
